poetry_ground_truth,text,poetry_generated_Seq2Seq_with_Att
آنچه بر صورت تو پیدا کرد / چون محو شد جان چرایش هشتهای,اگر تو واقعا بر سر و زبان عشق داشتی. چرا وقتی که اشک از ان فرو میبارد ، دیگر بدان نگاه نمیکنی,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
صورتش برجاست این معنی ز کیست / عاشقا واجو که عشق تو کیست,وقتی که روح از کالبد درونی تو بیرون میرود. کالبدش بر جای خود مینشیند. پس چرا از ان دل بیرون و سیر میکنی پس ای عاشق با کمال ارامش تلاش کن تا بدانی که معشوق حقیقی تو چه کسی است.,تا که که در تو را <end> 
صورتش برجاست این سیری ز چیست / عاشقا واجو که گفتار تو چیست,وقتی که روح از کالبد معشوق تو بیرون میرود. روح بر جای خود میماند. پس چرا از ان دل خسته و خسته میشوی پس ای دوست با این تجربه تلاش کن تا بفهمی که معشوق حقیقی تو چه کسی است.,تا که که در تو را <end> 
آنچه مطلوب است اگر مطلوب است / عاشقستی هر که او را معشوق هست,اگر همین قدر برای همه ما باشد. پس هر انسان شانی باید عاشق او باشد..,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
آنچه معشوق است اگر معشوقه است / نیست هر که او را حس است,اگر همین کالبد همان فرزند ما باشد. پس هر فرزند پسری باید عاشق او باشد..,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
چون وفا از عشق افزون میکند / کی وفا صورت روا میکند,این تعریف را نیز میتوان به چند شکل معنی کرد وقتی عشق میتواند سبب رضایت وفای عاشق باشد. صورت چگونه میتواند نیازها را براورده سازد,تا که که در تو را <end> 
چون کسی آن عشق افزون میکند / کی وفا صورت دگرگون میکند,این مفهوم را نیز میتوان به چند وجه معنی کرد وقتی عشق حقیقی سبب افزایش لذت عاشق باشد. عاشق چگونه میتواند عشق را براورده سازد,تا که که در تو را <end> 
پرتو خورشید بر دیوار تافت / تابش عاریتی روشنایی یافت,برای مثال پرتو نور روی دیوار میتابد و دیوار از ان مسیر خود را پیدا میکند.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
ماه خورشید بر دیوار تافت / تابش بر دیوار یافت,برای مثال نور بر روی دیوار مینشیند و بعد از ان پرتو خود را پیدا میکند.,تا که که در تو را <end> 
بر کلوخی دل چه بندی چون سلیم / واطلب هر که تابد او هست,ای ساده دل برای چه به کلوخ دل بزنی و به ان نگاه کنی اصلی را طلب کن که او همواره بر زندگی و اشیا است و در ان غرق میشود.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
بر کلوخی من چه بندی ای دوست / واطلب اصلی که تابد او مقیم,ای مردم دل برای چه به ان دل میدهی و به ان عشق میورزی این را طلب کن که او همواره بر مظاهر و صور متجلی و در مظاهر متجلی میشود.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
هر که تو هم داری بر رخ خویش / خویش بر صورت پرستان دیده بیش,او پس از نقد مشرب صورت پرستان و حس ، کلام را متوجه کسانی میکند که بر عقل جزیی و مصلحت اندیش خود غره شده و بدان میبالند و میگوید ای کسی که بر نفس خود عشق میورزی و خود را برتر از صورت پرستان میبینی.,تا که که در تو را <end> 
ای که تو هم گویی بر عقل خویش / خویش بر صورت خویش دیده بیش,مولانا پس از این ، صورت پرستان و حس گرایان خود را متوجه کسانی میکند که بر عقل مند و واقع اندیش خود غره شده و انتقاد میبالند و میگوید ای کسی که بر عقل خود عشق میورز و خود را برتر از صورت خویش میدانی.,تا که که در تو را <end> 
پرتو عقل است جهان بر حس تو / عاریت میدان جهان بر چرخ ت,پرتو نوری کل است که بر حس او تابیده افشان و تو باید ان را مانند نوری بدانی که روی مس است و ان را پرتو مینامند.,تا که که در تو را <end> 
پرتو تجلی است که بر حس تو / خورشید میدان ذهب بر مس ت,پرتو قلبی کل است که بر حس او تاثیر افشان و تو باید ان را مانند قلبی بدانی که روی مس است و ان را پرتو میگویند.,تا که که در تو را <end> 
چون خورشید است خوبی در بشر / ورنه چون شد شاهد تو همه خر,زیبایی و محبوب در انسان نیز مانند عشق ظاهر شده است. اگر چنین نیست پس چرا زیبا و محبوب تو مانند یک ادم خشمگین و نفرت زده میشود,تا که که که در تو را <end> 
چون صورت است خوبی در بغل / ورنه چون شد شاهد تو پیره خر,پیری و جوانی در انسان نیز مانند خورشید ظاهر شده است. اگر چنین نیست پس چرا پدر و دلبر تو مانند یک زن پیر و نیمه پیر میشود,تا که که در تو را <end> 
اندک اندک میستاند آن نهال / اندک اندک خشک میگردد نهال,حق تعالی هوا و اب و هوای انسان را کم کم از او میخواهد چنانکه نهال به جهان میشکافد.,تا که که در تو را <end> 
اندک اندک در آن جمال / اندک اندک خشک میگردد نهال,حق تعالی اسمانها و اب و خاک خویش را کم کم از او گرفته چنانکه گاه به یکباره میخشکد.,تا که که در تو را <end> 
رو نعمره ایمان بخوان / دل طلب کن خویشتن را بر استخوان,برو و سوره یاسین را بگوییم که دست هر کس را عمری دراز بکشیم و او را واژگونه کنیم و ای طالب دل باش ای که اهل صورتی بر در دل مبند,تا که که در تو را <end> 
رو نعمره ننکسه بخوان / دل زنده کن سر منه بر سر,برو ایه سوره یاسین را ببین که ما هر کس را که دراز دهیم خلقت او را نداریم ، ایا انست که دل باشد ای که هر صورتی بر استخوان دل مبند,تا که که در تو را <end> 
سید ما دل جمال الله است / دو لبش از آب حیوان ساقی است,زیرا این دل جاودانه است و دو لب او اب زندگی را به او میبخشد و بارور میکند.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
خود همو رند است و هم ساقی و مست / هر سه یک شد چون طلسم تو خراب,خود او هم اب است و هم ساقی و هم شراب همینکه طلسم وجود و وجود موهوم تو شکسته شد. پس ان سه یکی بودند.. بایزید گفت هم شراب خوارها و هم شراب و هم ساقی.,تا که که در تو را <end> 
خود در آب است و هم ساقی و مست / هر سه یک شد چون طلسم تو پیدا,خود او هم اب است و هم ساقی و هم مست همینکه اگر وجود و وجود در تو باطل شد. همە ان سه یکی هستند.. باید گفت هم شراب خوارها و هم شراب و هم ساقی.,تا که که در تو را <end> 
هر یکی را تو ندانی از قیاس / بندگی با ژاژ کم و ناشناس,تو وجود و وجود را نمیتوانی از طریق قیاس و قیاس نظری ببینی. پس ای که سخن از حقیقت نبردهای. به نماز و عبادت سرگرم شو و کمی یاوه گویی کن.,تا که که در تو را <end> 
هر یکی را تو هم از قیاس / بندگی کن ژاژ کم خا ناشناس,تو وجود وجود وجود را باید از طریق قیاس و استدلال سخن بگویی. پس ای که بویی از معرفت داری. به طاعت و بندگی سرگرم شو و کمتر سخن گویی کن.,تا که که در تو را <end> 
همت تو صورت است و بس / بر مناسب شادی و بر نیاز,چیزی را که تو انجام میدهی در واقع چیزی جز زیبایی ادمی نیست. تو به هنرهای به ظاهر زیبا و اراسته دل خوش میکنی.,تا که که در تو را <end> 
معنی تو صورت است و ظاهر / بر مناسب ظاهر و بر کمال,چیزی را که تو پیدا میکنی در واقع چیزی جز خود زیبایی نیست. تو به زیبایی به ظاهر زیبا و اراسته دل خوش میکنی.,تا که که در تو را <end> 
جای آن باشد که بستاند تو را / بی نیاز از این دل تو را,معنای ان ان است که تو را از خود بپرس,تا که که در تو را <end> 
عشق آن باشد که باشد تو را / بی نیاز از حق گرداند تو را,معنای ان ان است که تو را از خود بپرس,تا که که در تو را <end> 
معنی آن نبود که کر و کر کند / پرده را بر نقش نگار کند,در واقع یارای ان نیست که کسی را پریشان و کور کند و او را بر حال خود منطبق کند.,تا که که در تو را <end> 
معنی را نبود که گوش و کر کند / مرد را بر وی عاشقتر کند,در واقع قدرت ان نیست که بیمار را بیمار و پریشان سازد و او را بر جای خود نقش کند.,تا که که در تو را <end> 
کور را به خیال جان فزاست / در چشم این خیالات فناست,قسمت و نصیب و غمگین است که وجود دارد. ولی غمگین نیست.,تا که که در تو را <end> 
اهل خر را ضریران معدن اند / خر نبینند و به پالان بر زنند,کوردل تنها الفاظ و جملات خودشان را پاک میکنند و معدن کلمات دیگران میشوند. مثل انها مثل کسانی است که خر را نمیبینند و در نهایت پالانش را میکشند.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
چون تو از پی شاهی رو که جست / چند پالان دوزی سیم پالان پرست,تو که نیاز داشتی به خر ای که گریخته است. ای پالان پرست تا کی داری پالان بدو,تا که که در تو را <end> 
چون تو داری پی خر رو که جست / چند پالان داری ای پالان پرس,تو که فکر میکنی دنبال خر ای که سگ است. ای پالان پرست تا کی ؟ پالان بدو,تا که که در تو را <end> 
خر چو باشد در یقین پالان تو را / کم نگردد نان چو باشد نان تو را,چون که خر داشته باشی. تو نان نیز پیدا خواهی کرد. اما اگر سگ داشته باشی نان هم از تو پیدا نخواهد شد.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
خر چو بیش آید یقین پال تو را / کم نگردد نان چو باشد نان تو را,چون که خر داشته باشی. وگرنه پالان نیز پیدا خواهی کرد. البته اگر اسب داشته باشی نان هم از تو پیدا نخواهد شد.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
پشت و دکان و مال و مکسبست / در قلبت گدایی صد پاره,پشت خر محل اسب و شتر و زمین است. ولی پشت مروارید و تو قرص ابریشم صد ساله است.,تا که که در تو را <end> 
خر برهنه را ای پسر / خر برهنه نه که مسلمان شد رسول,ای یاوه گو روی خر بدون شک بود. مگر این شاه نبود که روی الاغ الاغ سوار میشد,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
خر برهنه نه ای بوالفضول / خر برهنه نه که خواهد شد رسول,ای شاه گو روی خر بدون پالان سوار. مگر محمد شاه نبود که روی الاغ خود سوار میشد,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
النبی قد رکب معروریا / جانی یا سافر منی,و بر خر سوار و بدون چادر سوار میشد. و نیز میدانست که ان کس که ان بود با پای پیاده میرفت.,تا که که در تو را <end> 
… قد رکب معرو / والنبی قیل سافر هو,پیامبر بر خر مینشست و بدون پالان پیاده میشد. و نیز گفت که ان کس که ان روز با پالان پیاده میرفت.,تا که که در تو را <end> 
شد خر نفس تو بر بند بند / چند بگریزد از کار و بار چند,تا قبل از این بیت معنا به خر و صورت به پالان تشبیه شده بود. ولی از اینجا به بعد طبق سنت متداول در متون عرفانی نفس اماره به خر تشبیه میشود. نفس اماره تو که به مثابە خر است از رحمت خدای متعال برمیخیزد تو را به میخی ببند. تا کی این حیوان از بار تکلیف و معصیت حق میگریزد,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
شد خر نفس تو بر میخیش بند / چند گشتی ز پای و بار چند,تا قبل از این بیت معنا به خر و معنا به پالان تشبیه شده بود. ولی از اینجا به بعد طبق عادت متداول در متون عرفانی نفس اماره به خر تشبیه میشود. نفس اماره تو که به مثابە خر است از فرمان خدای تعالی ، افسارش را به میخی میدهد. تا کی این حیوان از بار اطاعت و طاعت حق میگریزد,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
بار شیرین و شکر او را بردنی است / که در هر سال و خواهی سی و بیست,سرانجام این خر تنها باید بار صبر و بردباری را بر دوش کشد. خواه در صد سال ان را بر دوش کشد و خواه در صد یا سی سال.,تا که که در تو را <end> 
بار صبر و اندوه او را بردنی است / که در صد سال و خواهی سی و بیست,صاحب این خر بزرگ باید بار صبر و شکر را بر دوش کشد. خواه در صد سال ان را بر دوش کشد و خواه در صد یا سی سال.,تا که که در تو را <end> 
هیچ وازر هیچ غیری نکرد / هیچ کس ندرود تا چیزی نکاشت,برای مثال هیچ حمل کنندهای بار دیگری را حمل نمیکند و هیچ کس تا چیزی نکار نمیتواند محصولی برداشت کند.,تا که که در تو را <end> 
هیچ وازر جهان غیری برنداشت / هیچ چیزی ندرود تا چیزی برنداشت,برای مثال هیچ تولید کنندهای بار دیگری را حمل نمیکند و هیچ کس تا چیزی نکار نمیتواند انرا برداشت کند.,تا که که در تو را <end> 
طمع عشق است آن خام خام ای پسر / خام است علت آرد در بشر,چیزی نکاشتن و در ان نگه داشتن ، بیهوده است. ای پسر باید خام بخورید که خام خوردن باعث رنج و بدبختی میشود.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
طمع خام است آن مخور خام ای پسر / عاقبت از علت آرد در خراب,چیزی نیست و در ان طمع داشتن وجود داشتن است. ای پروردگار معنوی غم مخور که خام بودن باعث فساد و فقر میشود.,تا که که در تو را <end> 
از فلانی یافت گنجی ناگهان / من همان خواهم مه سیاه و مه دکان,یا به عبارت دیگر خشت خام این است که مثلا بگویی همان گونه که فلان کس ظهور ناگهانی خواهد یافت. من نیز همان چیزها را بدون کار و کسب به دست میاورم.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
کار این است آ و آن هم بخت است / کسب باید کرد تا تن قادر است,اینکه ناگهان جایی برای کسی پیدا شود. از زحمت و شانس است و این مورد نیز بسیار زیاد پیش میاید. ولی تا وقتی که کسی توان دارد باید کار کرد.,تا که که در تو را <end> 
کار بخت است آ و آن هم نادر است / که باید کرد تا نه قادر است,اینکه ناگهان چیزی برای کسی پیدا میشود. این فرصت و فرصت است و این مورد نیز بسیار زیاد پیش میاید. ولی تا وقتی که جسم توان دارد باید کار کرد.,تا که که در تو را <end> 
خرج کردن گنج را مانع کی است / گنج مکش از دست آن خود در پی است,کار و تلاش کی میتواند از به دست اوردن گنج مانع شود هرگز از کار کردن اجتناب مکن که پیدا شدن گنج بستگی به تلاش کردن دارد.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
کسب کردن گنج را مایه جنون است / پا مکش از پی آن خود در پی است,کوشش و تلاش کی میتواند از به دست اوردن گنج جلوگیری شود ؟ از تلاش کردن اجتناب مکن که پیدا شدن گنج بستگی به تلاش کردن دارد.,تا که که در تو را <end> 
تا نکردی تو هرگز اگر / که اگر این کردمی یا بار دگر,تا اینکه دچار گفتن اگر شوی و بگویی اگر این کار را میکردم و یا ان کار را میکردم. و نتیجه حاصل میشود.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
تا نبودی تو میدانی اگر / که اگر این کردمی یا آن داری,تا اینکه دچار گفتن اگر شدی و بگویی اگر این کار را میکردم و یا ان کار را میکردم. و سوءتفاهم پیش میامد.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
زاهد اگر نبود رسول با وفاق / منع کرد و گفت او هست از نفاق,زیرا که اعتقاد و ایمان شما را از اگر گفتن میترساند و فرموده است اگر گفتن کار خوبی است.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
کز اگر دید رسول با وفاق / منع کرد و گفت آن هست از گناه,زیرا اینکه دانش و بصیرت مردم را از اگر گفتن است و گفتن است اگر گفتن است دورویی است.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
جز منافق در اگر گفتن بمرد / دل اگر گفتن بجز حسرت نبرد,زیرا ان قدر هم در حال و اگر اگر بود که بود. و از اگر اگر گفتن هیچ چیز پیش نیامد جز پشیمانی و پشیمانی.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
از پی افسرده ایی باز شد / واندر آن بیماریش چون تار شد,از یاران بیت ایت الله علیه زاده شد و به سبب بیماری بسیار نحیف و نحیف شد.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
از صحابه خواجه جان بیمار شد / واندر آن کس چون بیمار شد,از قضا او ایت الله بزرگی نامیده شد و به سبب بیماری بسیار نحیف و نحیف شد.,تا که که در تو را <end> 
مصطفی آمد عیادت سوی او / چون همه لطف و کرم به او ا,حضرت رسول به دنبال ان بیمار رفت. زیرا جسم و روح او سراسر پارسایی و بزرگواری بود.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
عشق آمد عیادت سوی او / چون همه لطف و کرم و خوی ا,سپس فاطمه به دیدار ان بزرگوار رفت. زیرا جسم و روح او سراسر مهربانی و محبت بود.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
در خواب رفتن تو نشسته ست / گفت آن باز با تو عایده ست,در مراجعه به منزل بیمار فایده وجود دارد و ان فایده به خودت باز میگردد.,تا که که در تو را <end> 
شاه اول که آن شخص / بوک قطبی باشد و شاه جهان,فرض اول این است که شاید ان شاه و یا شاه ایران باشد.,تا که که در تو را <end> 
ور نباشد ایران یار ره بود / ور نباشد فارس اسپه بود,و اگر فرضا ان ولایت افغان هم که نباشد. و کم ان طریق که هست. و اگر سپاه باشد و سپاه که نباشد.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
ور چه قطب یار ره بود / شه نباشد بنده اسپه بود,و اگر فرضا ان وسیله باشد هم که نباشد. دست کم رفیق طریق که هست. و اگر هم نباشد این است که هست.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
ور عدو باشد همین احسان نکوست / که به تو مراد عدو شاد است دوست,حتی اگر چنین است هم که باشد. زندگی در حق او خوب و عالیست. زیرا بسیاری از انسانها بوسیله احسان و سخاوت به دشمن تبدیل میشوند.,تا که که در تو را <end> 
ور عدو باشد همین احسان نکوست / که به احسان تو سخت گشته است دشوار,تازه اگر قرار است هم که باشد. احسان در حق او خوب و عالیست. زیرا بسیاری از مشکلات بوسیله احسان و اعتماد به دشمن تبدیل میشوند.,تا که که در تو را <end> 
ور نگردد از کینش کم شود / زخم احسان تو را مرهم شود,و اگر فرضا ان دشمن وجود داشته باشد. دست کم از دشمنی و پاکی باز میگردد. زیرا نیکی و نیکی و پاکی است.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
بس فواید هست غیر این ولیک / از من خایفم ای تو نیک,در کلام ، تاثیر فراوان دیگری نیز دارد. ولی ای کاش ، من از قطع شدن کلام میترسم.,تا که که در تو را <end> 
هر که هست غیر این ولیک / از درازی خایفم و یار نیک,در واقع بیمار اهمیت فراوان دیگری نیز دارد. ولی ای یار ، من از طولانی شدن عیادت خوشحالم.,تا که که در تو را <end> 
چون دو سه دل نداری ای برادر / که نمیدانی تو هیزم را ز دست,ای کاش تا وقتی که تو دو چشم دل کنی. میتوانی خودت را از رنج رهایی دهی.,تا که که در تو را <end> 
چون دو چشم تو نداری ای عنود / که نمیدانی تو هیزم را به خواب,ای ستیزه تا وقتی که تو دو درد دل داری. ای خودت را از گرسنگی رهایی دهی.,تا که که در تو را <end> 
چونکه چیزی هست در عالم مرنج / هیچ چیزی را مدان خالی ز گنج,تا وقتی که در این منطقه زندگی وجود دارد. هرگز سفر مکن. و هیچ جایی را خالی از سکنه رها مکن.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
چونکه گنجی هست در عالم مرنج / هیچ گنج را مدان را ز گنج,تا وقتی که در این شهر ارامش وجود دارد. ازرده خیال مباش. و هیچ جایی را خالی از سکنه رها نکنید.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
قصد هر درویش میکن از خویش / چون خویشتن یابی به جد میکن سر,به هر موجود تهی دل بسیار کمک کن. همینکه مرا در او دیدی با سعی و تلاش تمام دورش بگرد.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
بر هر درویش میکن از گزاف / چون ره یابی به جد و طواف,به هر حیوان دو دستی بسیار کمک کن. همینکه خللی در او دیدی با سعی و تلاش تمام دورش بگرد.,تا که که در تو را <end> 
چون تو را در دو باطن بین نبود / گنج میپندار از هر وجود,وقتی که چشم باطن بین نداری. پس میتوان گفت که در هر وجودی روشنی نهفته است.,تا که که در تو را <end> 
چون تو را آن همه باطن بین نبود / خود میپندار از هر وجود,وقتی که چشم باطن بین نداری. پس یادمان باشد که در هر وجودی انچه نهفته است.,تا که که در تو را <end> 
آمد از حق سوی موسی این کار / کای طلوع ماه از تو ز جیب,از زبان امام به حضرت محمد این امید پر رنگ در رسید کهای کسی که مریض است را از گریبان خود بردارد.,تا که که در تو را <end> 
آمد از حق سوی موسی این عتاب / کای طلوع ماه مهر تو در راه,از بارگاه مردی به نام محمد این نام پر رنگ در رسید ، کسی که دست پیامبران را از گریبان خود انداخت.,تا که که در تو را <end> 
مشرقت کردم ز نور ایزدی / من حقم ترا گشتم روزگاری,من با این خورشید تو را هدایت کردم. منم حق بیمار شدم به جهنم من رفتم.,تا که که در تو را <end> 
گفت اسرار تو کردی از زبان / این چه رمزست این چه یارب بیان,حضرت امام اظهار داشت ای خدای پاک از هر گونه حرمت و مصونیت تو از هر گزندی و گزندی و این چه شایسته است این سخن را بیان بفرما.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
گفت با تو پاکی از زبان / این چه دانی این بکن یارب بیان,حضرت موسی عرضه داشت ای خداوند پاک از هر گونه نقصان و کاستی تو از هر عیب و ضرر و این چه شایسته است این سخن را بیان میکنم.,تا که که در تو را <end> 
باز دانم که در خدمت / چون داریم تو از روی کرم,پیامبر حق تعالی دوباره به موسی گفت در ایام بیماری من چرا از روی شک و شبهه به عیادت من نرفت و حال مرا نپرسید,تا که که در تو را <end> 
باز دیدم که در خدمت / چون عنایت تو از روی کرم,حضرت حق تعالی دوباره به موسی گفتند در زمان غیبت من چرا از روی خشم و جوانمردی به عیادت من رفتید و حال مرا نپرسیدی,تا که که در تو را <end> 
گفت یارب نیست نقصانی تو را / چون گم شد این اسم را مختصر,چون موسی عرضه داشت پروردگارا هیچ عیب و نقصانی نیست و او در این خصو و حیران شده. پس مرا نتیجه و مقصود از این کلام را بیان بفرما.,تا که که در تو را <end> 
گفت اینجا نیست راز تو را / که گم شد این سخن را برگشا,حضرت ، عرضه داشت پروردگارا ، کاستی و کاستی تو و تو در این خصو و دگرگون شده. پس من معنی و مقصود از این کلام را بیان بفرما.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
نیست معذوریش معذوری من / هست درمان رنجوری من,معذور بودن او در واقع معذور بودن من است و البته او نیز مثل من.,تا که که در تو را <end> 
هست بیماری بر من / هست رنجوریش رنجوری من,معذور بودن او در واقع معذور بودن من است و اگر او نیز مانند من.,تا که که در تو را <end> 
هر که خواهد همنشینی خدا / تا کی در حضور اولیا,هر کس باید با خدا همنشینی کند. باید با رسول الله دیدار کند.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
هر که یابد همنشینی خدا / تا نشیند در حضور اولیا,هر کس باید با خدا همنشینی کند. باید با اولیاء الله زندگی کند.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
از دیده خویش بسکلی / تو هلاکی ز آنکه کنی بی کلی,اگر تو از محضر اولیاء الله خارج شوی و از محضر ایشان بروی قطعا کشته خواهی شد. زیرا که تو جزو کفار کلی.,تا که که در تو را <end> 
از یک اولیاءگر موجود / تو هلاکی ز یک جزو بی کلی,اگر تو از بیت رسول الله خارج شده و از مصاحبت ایشان بری قطعا هلاک خواهی شد. زیرا که تو جزو داوران کلی.,تا که که در تو را <end> 
هر که را دیو از کریمان وا برد / بی تو یابد خلق را او برد,هر کس را که شیطان از دست اهل حق دور میکند. او را تنها گیر میاورد و او را میسوزاند.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
هر که را دیو از کریمان وا برد / بی کسش یابد سرش را او برد,هر کس را که شیطان از میان اهل حق دور میکند. او را تنها گیر میاورد و همه را میبرد.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
یک بدست از جمع رفتن یک نفس / مکر شیطان باشد این نیکو کار,اگر در یک ان به اندازە یک متر از سطح زمین دور شوی. نیک میدانیم که این امر از وجود خداوند سرچشمه گرفته است.,تا که که در تو را <end> 
یک زمان از جمع رفتن یک زمان / مکر خود باشد این نیکو بدان,اگر در یک ان به اندازە یک ثانیه از اولیاء خداوند دور شویم. ما میدانیم که این امر از رحمت خداوند سرچشمه گرفته است.,تا که که در تو را <end> 
